,CD_ESCOLA,MUN,NM_COMPLETO_ESCOLA,DS_ENDERECO,LATITUDE,LONGITUDE,NIVEL SOCIOECONOMICO DOS ALUNOS,CODESC,ANOS_FINAIS_var,ANOS_INICIAIS_var,ENSINO_MEDIO_var,CODIGO_CIE,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MEDIO
30,37102,SAO PAULO,MARTIN EGIDIO DAMY,PAULO GARCIA AQUILINE ,-23.4698,-46.6864,5.51,37102,,,107.40740740740739,37102,,,1.68
31,395,SAO PAULO,JOAQUIM LUIZ DE BRITO PROFESSOR,RUA SANTA LUCIA FILIPPINI,-23.4886,-46.6907,6.75,395,57.54716981132074,,52.71317829457364,395,,3.34,1.97
32,620,SAO PAULO,ANTONIO EMILIO SOUZA PENNA PROFESSOR,CAROLINA MARIA DO CARMO ,-23.5038,-46.6926,7.01,620,39.13043478260871,,23.15270935960592,620,,3.52,2.5
33,838,SAO PAULO,JOAO VIEIRA DE ALMEIDA,GUILHERME COTCHING ,-23.518256163598103,-46.589430612165394,6.45,838,106.52173913043477,,79.50819672131148,838,,3.8,2.19
34,2410,SAO PAULO,THEODOMIRO EMERIQUE PROFESSOR,UICO ,-23.521900282540997,-46.5216458406143,7.37,2410,,19.665271966527182,,2410,5.72,,
35,902724,SAO PAULO,FERNANDO MAURO PIRES DA ROCHA DEPUTADO,JOSE PINTO ,-23.6068877975285,-46.4024754407532,4.89,902724,49.06832298136645,55.59566787003608,59.34065934065933,902724,4.31,2.4,1.45
36,904314,SAO PAULO,GUERRA JUNQUEIRO,FLORIANO ARRESTI ,-23.5650320083988,-46.39375358819961,5.34,904314,62.430939226519335,,34.58646616541353,904314,,2.94,1.79
37,923916,SAO PAULO,MARCOS ANTONIO COSTA PROFESSOR,GODOI BUENO ,-23.630691380099396,-46.443163205001795,3.92,923916,23.756906077348074,78.24267782426776,32.00000000000001,923916,4.26,2.24,1.32
38,3585,SAO PAULO,MANUEL CIRIDIAO BUARQUE PROFESSOR,RUA CERRO CORA,-23.5401,-46.7037,9.03,3585,,,24.232081911262796,3585,,,3.64
39,4571,SAO PAULO,PAULO ROSSI PROFESSOR,RUA DOS BOGARIS,-23.6101,-46.6449,8.83,4571,33.75394321766563,13.333333333333336,,4571,5.95,4.24,
40,4832,SAO PAULO,RUI BLOEM,RUA DOS BOGARIS,-23.6103,-46.6448,9.54,4832,,,10.861423220973784,4832,,,2.96
41,902524,SAO PAULO,CESAR YASIGI PROFESSOR,SORIANO DE ALBUQUERQUE ,-23.6539306640625,-46.787410736084006,4.39,902524,,55.27156549520769,,902524,4.86,,
42,900102,SAO PAULO,LEILA SABINO PROFESSORA,SILVILINO MANTOVANINI ,-23.7063235705568,-46.7461125012234,6.51,900102,43.5294117647059,17.201834862385322,16.4179104477612,900102,5.11,3.66,2.34
43,4789,SAO PAULO,ANTONIO CASTELAR DE FRANCESCHI,RUA DOM PERO SARDINHA,-23.606201300000002,-46.6238847,7.37,4789,,62.02247191011235,,4789,7.21,,
44,1892,SAO PAULO,REPUBLICA DO PARAGUAY,CARLOS MULLER ,-23.5268,-46.7926,6.0,1892,52.41635687732341,30.725190839694644,,1892,6.85,4.1,
45,1892,SAO PAULO,REPUBLICA DO PARAGUAY,RUA CARLOS MULLER,-23.5809071635138,-46.5837906846558,6.0,1892,52.41635687732341,30.725190839694644,,1892,6.85,4.1,
46,41014,SAO PAULO,GUIOMAR NOVAES,LEONIDAS MOREIRA ,-23.660729999999997,-46.67412279999999,5.42,41014,,70.74829931972789,,41014,7.53,,
47,909212,SAO PAULO,ALEXANDRE ANSALDO MOZZILLI PROFESSOR,RUA DOUTOR FRANCISCO LOUREIRO,-23.7194,-46.678999999999995,4.49,909212,,41.528239202657815,,909212,4.26,,
48,472505,SAO PAULO,ILDA VIEIRA VILELA,CANAL DE COCAIA ,-23.7426,-46.6699,4.9,472505,,,,472505,,,1.92
49,37588,SAO PAULO,CANDIDO DE OLIVEIRA PROF,LUIZ PINELLI ,-23.8070024557245,-46.7350199411392,4.53,37588,,-0.6250000000000006,,37588,6.36,,
50,44465,SAO PAULO,ANTONIO PEREIRA LIMA DR,JUSA ,-23.8216,-46.7512,3.3600000000000003,44465,-4.800000000000004,,35.77235772357723,44465,,2.38,1.67
51,8459,SANTO ANDRE,WALDOMIRO GUIMARAES PROFESSOR,RUA DOM HENRIQUE,-23.7133,-46.5097,4.12,8459,55.11363636363637,9.278350515463925,96.59090909090908,8459,4.24,2.73,1.73
52,9261,SAO BERNARDO DO CAMPO,JOAO RAMALHO,JOSE BONIFACIO ,-23.715141,-46.547889,8.67,9261,25.765306122448973,,83.41013824884793,9261,,4.93,3.98
53,9702,CARAPICUIBA,OSVALDO ELCI PROFESSOR,RUA CAJOBI,-23.536407399999998,-46.8416494,4.87,9702,,-8.936170212765955,,9702,4.28,,
54,41324,CARAPICUIBA,NIDELSE MARTINS DE ALMEIDA PROFESSORA,MARTE,-23.5717,-46.8167,4.39,41324,,19.672131147541002,,41324,5.11,,
55,921427,CARAPICUIBA,NATALINO FIDENCIO PROFESSOR,ZEQUINHA DE ABREU,-23.5726,-46.8198,5.01,921427,38.388625592417064,,67.21311475409837,921427,,2.92,2.04
56,923801,CARAPICUIBA,VILA DIRCE II,BANDEIRANTES,-23.5557,-46.8332,5.52,923801,75.43859649122807,,,923801,,3.0,
57,908836,BARUERI,ITAJAHY FEITOSA MARTINS PROFESSOR,RENATA ,-23.5391,-46.8915,5.83,908836,,,97.89473684210526,908836,,,3.76
58,10431,ITAPEVI,AMERICO VALENTIN CHRISTIANINI,ROSEMARY BELLI ,-23.5477672219358,-46.950239474868795,4.54,10431,32.984293193717285,,78.37837837837837,10431,,2.54,1.98
59,37114,EMBU DAS ARTES,TADAKIYO SAKAI,HAMBURGO ,-23.6462,-46.8011,5.52,37114,66.51982378854625,,110.88435374149661,37114,,3.78,3.1
60,40654,EMBU DAS ARTES,MARIA NELIDA SAMPAIO DE MELLO DONA,RUA SANTA LUZIA,-23.6418909921945,-46.8563809139701,4.34,40654,39.89071038251366,113.08016877637128,,40654,5.05,2.56,
61,911331,PERUIBE,JARDIM SAO JOAO,AVENIDA EDUARDO ALVARES MACHADO,-24.304532002354303,-46.989239067459096,6.0600000000000005,911331,55.109489051094876,,,911331,,4.25,3.33
62,12580,APARECIDA,EDGARD DE SOUZA DR,RUA ITACOLOMI,-22.868000000000002,-45.25899999999999,6.57,12580,,,35.918367346938766,12580,,,3.33
63,13080,CACHOEIRA PAULISTA,JUCA PADRE,PRACA EUCLIDES FIGUEIREDO,-22.6662,-45.0168,4.89,13080,38.167938931297705,,46.22222222222223,13080,,3.62,3.29
64,13146,CACHOEIRA PAULISTA,PAULO VIRGINIO,LARGO BOM JESUS,-22.6573,-45.0136,4.44,13146,102.84090909090908,,175.67567567567568,13146,,3.57,2.04
65,6385,ARUJA,WASHINGTON LUIZ PEREIRA DE SOUZA DR,RUA WASHINGTON LUIZ,-23.3996,-46.3218,6.8100000000000005,6385,58.93719806763287,,,6385,,3.29,3.05
66,103,SAO PAULO,JOAO BOEMER JARDIM PROFESSOR,CRISTOVAO SANTIAGO ,-23.4612,-46.6736,4.91,103,,1.4675052410901528,,103,4.84,,
67,918994,SAO PAULO,PAULO MACHADO DE CARVALHO,RUA AGUIAR DE BARROS,-23.5538581,-46.640169799999995,5.19,918994,,26.262626262626267,,918994,5.0,,
68,37746,SAO PAULO,ORLANDO HORACIO VITA PROFESSOR,RUA DIOGO CABRERA,-23.4910843,-46.644651200000006,6.88,37746,,62.037037037037024,,37746,7.0,,
69,978,SAO PAULO,CASIMIRO DE ABREU,RUA CORONEL JORDAO,-23.507901699999998,-46.60172670000001,7.54,978,40.776699029126206,,93.36734693877553,978,,4.35,3.79
70,911008,SAO PAULO,URBANO DE OLIVEIRA PINTO REV,TANTAS PALAVRAS ,-23.522468300000003,-46.4693922,5.47,911008,-2.252252252252264,,18.4,911008,,2.17,1.48
71,902809,SAO PAULO,ARTHUR CHAGAS JUNIOR PROF,FRANCESCO USPER ,-23.6043,-46.4966,5.61,902809,21.702127659574458,5.06329113924051,41.66666666666666,902809,4.15,2.86,1.53
72,2641,SAO PAULO,JOSE PEREIRA DE QUEIROZ DR,PARANHOS ,-23.5435009002686,-46.515098571777294,7.83,2641,,,24.583333333333346,2641,,,2.99
73,444121,SAO PAULO,MARILIA SANTOS CARVALHO DE POLILLO PROFESSORA,ISABELA ,-23.5312054807554,-46.4066984558891,5.28,444121,,22.88329519450801,,444121,5.37,,
74,438112,SAO PAULO,SITIO CONCEICAO,WILSON FERNANDO S.CARVALHO ,-23.5781044,-46.391658,3.7300000000000004,438112,74.49664429530202,,,438112,,2.6,1.79
75,908368,SAO PAULO,OSWALDO GAGLIARDI,RUA INACIO MONTEIRO,-23.5782,-46.3911,3.8899999999999997,908368,33.17535545023698,100.0,37.719298245614056,908368,4.08,2.81,1.57
76,447663,SAO PAULO,JARDIM SANTO ANDRE III,MIGUEL FERREIRA DE MELO ,-23.6302,-46.4435,6.720000000000001,447663,65.3631284916201,,55.22388059701492,447663,,2.96,2.08
77,632,SAO PAULO,AUGUSTO DE MACEDO COSTA DOUTOR,CONCEICAO DE JACAREI ,-23.4802787,-46.6968995,5.2,632,,95.15151515151517,,632,6.44,,
78,164,SAO PAULO,PIO TELLES PEIXOTO PROFESSOR,ARTUR ORLANDO ,-23.5119,-46.748999999999995,7.359999999999999,164,-11.78707224334601,,-6.081081081081086,164,,2.32,1.39
79,498,SAO PAULO,LUIZ GONZAGA RIGHINI PROFESSOR,AVENIDA DEPUTADO EMILIO CARLOS,-23.497017,-46.676140999999994,7.16,498,29.230769230769234,,111.76470588235294,498,,2.52,1.8
80,917,SAO PAULO,ANTONIO LISBOA PROFESSOR,RUA PROFESSOR FABIO FANUCCHI,-23.493303100000002,-46.615554100000004,8.72,917,18.35205992509364,,19.469026548672584,917,,3.16,2.7
81,37783,SAO PAULO,VERIDIANA CAMACHO CARVALHO GOMES PROFA,CARLOS DOS SANTOS ,-23.4799,-46.5733,5.33,37783,1.456310679611641,,8.074534161490677,37783,,2.09,1.74
82,1387,SAO PAULO,THEODORO DE MORAES PROFESSOR,AVENIDA REGENTE FEIJO,-23.5580752055619,-46.5733798249905,7.220000000000001,1387,,17.744916820702404,,1387,6.37,,
83,41695,SAO PAULO,GUILHERME GIORGI COMENDADOR,SEBASTIAO MARCHESONI ,-23.586266245666398,-46.5095033991565,5.65,41695,21.072796934865913,44.74474474474475,,41695,4.82,3.16,
