CodigoCIE,CodigoINEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,NivelEnsino,Ano2011,Ano2012,Ano2013,Ano2014,Ano2015,Ano2016,Ano2017
31800,35031800,20904,PRESIDENTE PRUDENTE,ANNA ANTONIO PROFESSORA                                     ,PRESIDENTE PRUDENTE,EM,1.27,1.91,1.27,1.72,1.94,1.11,2.18
45755,35045755,20407,JUNDIAI,MAURILIO TOMANIK PADRE                                      ,JUNDIAI,EM,1.37,1.33,1.29,0.92,1.35,2.3,2.03
924878,35924878,20310,VOTORANTIM,JARDIM DANIEL DAVID HADDAD                                  ,SALTO DE PIRAPORA,EM,1.92,2.06,2.39,2.77,2.59,2.69,2.95
906281,35906281,10502,SUZANO,JOSE PAPAIZ PROFESSOR                                       ,SUZANO,EM,0.91,1.32,1.12,1.33,1.45,1.18,2.1
412983,35412983,10602,MAUA,AFONSO PASCHOTTE PADRE                                      ,MAUA,EM,1.48,1.82,1.69,1.36,1.71,2.18,1.81
903723,35903723,21101,MIRACATU,JUDITH SANT ANA DIEGUES PROFESSORA                          ,ILHA COMPRIDA,EM,2.27,2.86,3.04,2.36,2.7,2.72,2.96
911677,35911677,20403,BRAGANCA PAULISTA,FABIO HACL PINOLA PROF                                      ,NAZARE PAULISTA,EM,2.34,2.9,3,2.31,2.77,3.46,3.41
284324,35284324,10211,LESTE 3,BELIZE                                                      ,SAO PAULO,EM,1.12,1.16,0.81,0.78,1.44,1.65,2
902020,35902020,10606,SAO BERNARDO DO CAMPO,LUIS DOS SANTOS METALURGICO                                 ,SAO BERNARDO DO CAMPO,EM,1.76,1.44,2.02,1.71,2.45,1.92,2.3
906104,35906104,20703,JALES,ONELIA FAGGIONI MOREIRA PROFESSORA                          ,JALES,EM,2.25,2.67,2.79,3.53,3.73,3.71,4.1
921567,35921567,20401,AMERICANA,WILSON CAMARGO PROF                                         ,AMERICANA,EM,2.01,2.21,1.78,2.7,3.31,2.48,2.84
42959,35042959,20602,JAU,FRANCISCO FERREIRA DELGADO JUNIOR CONEGO                    ,BARRA BONITA,EM,1.96,1.91,2.26,1.96,2.22,2.72,3.03
911173,35911173,20901,ADAMANTINA,ALFREDO MACHADO                                             ,DRACENA,EM,1.26,1.21,2.07,1.64,2.17,1.01,2.61
902559,35902559,20404,CAMPINAS OESTE,VENERANDA MARTINS SIQUEIRA DONA                             ,CAMPINAS,EM,1.04,1.21,1.25,1.08,1.87,1.72,1.48
478209,35478209,20408,LIMEIRA,JOAO BAPTISTA GAZZOLA                                       ,ARTUR NOGUEIRA,EM,,,,1.47,2.65,2.38,1.51
908502,35908502,10502,SUZANO,JOSE EDUARDO VIEIRA RADUAN DOUTOR                           ,FERRAZ DE VASCONCELOS,EM,0.82,1.28,1.16,1.08,1.79,1.2,1.66
447663,35447663,10211,LESTE 3,JARDIM SANTO ANDRE III                                      ,SAO PAULO,EM,1.34,1.19,1.42,1.12,1.45,1.64,1.54
566032,35566032,20302,AVARE,ASSENTAMENTO ZUMBI DOS PALMARES,IARAS,EM,,,,,,2.21,2.35
907424,35907424,20419,CAPIVARI,AURORA SCODRO GROFF                                         ,INDAIATUBA,EM,2.32,1.93,3.21,3.54,0.8,3.31,3.28
902548,35902548,20205,SAO JOSE DOS CAMPOS,RUTH COUTINHO SOBREIRO PROFESSORA                           ,SAO JOSE DOS CAMPOS,EM,1.74,1.78,1.4,2.09,2.62,1.89,2.21
900588,35900588,20407,JUNDIAI,HAMILTON JOSE BIANCHI MONSENHOR                             ,VARZEA PAULISTA,EM,1.66,1.62,1.69,1.86,1.53,2.43,2.21
497381,35497381,20501,ARARAQUARA,JARDIM BUSCARDI                                             ,MATAO,EM,,,,,3.77,4.13,4.6
904090,35904090,20407,JUNDIAI,JURANDYR DE SOUZA LIMA                                      ,JUNDIAI,EM,,,1.1,1.5,2.5,1.97,2.75
50428,35050428,10401,CAIEIRAS,KATIA MARIA TARIFA LEME TONELLI PROFA                       ,FRANCO DA ROCHA,EM,1.31,1.24,0.94,1.45,1.01,1.58,1.19
31896,35031896,20904,PRESIDENTE PRUDENTE,FILOMENA SCATENA CHRISTOFANO                                ,ALFREDO MARCONDES,EM,1.93,2.79,0.64,2.33,3.05,2.39,2.93
47120,35047120,20417,CAMPINAS LESTE,CORIOLANO MONTEIRO PROFESSOR                                ,CAMPINAS,EM,1.28,1.48,2.17,1.6,1.93,2.13,2.29
925512,35925512,10503,ITAQUAQUECETUBA,JARDIM ODETE III                                            ,ITAQUAQUECETUBA,EM,1.37,0.91,1.01,1.07,1.28,1.53,1.7
906748,35906748,20206,TAUBATE,MARIA APARECIDA FRANCA BARBOSA DE ARAUJO PROFESSORA         ,CACAPAVA,EM,1.12,1.42,1.31,1.43,1.76,1.69,1.81
435454,35435454,20401,AMERICANA,MARIA DO CARMO AUGUSTI PROFA                                ,AMERICANA,EM,1.79,1.93,2.31,1.91,2.7,2.02,2.54
903875,35903875,20417,CAMPINAS LESTE,MOACYR SANTOS DE CAMPOS PROFESSOR                           ,CAMPINAS,EM,1.66,1.63,1.53,0.91,2.5,1.88,2.21
915609,35915609,20407,JUNDIAI,BAIRRO DE MONTE SERRAT                                      ,ITUPEVA,EM,2.33,2.37,2.09,1.82,2.73,2.24,2.13
286710,35286710,10602,MAUA,JOAO RICARDO BORGES DE LIMA                                 ,MAUA,EM,1.14,1.44,1.42,1.37,1.41,1.73,1.97
906311,35906311,10502,SUZANO,MARTHA CALIXTO CAZAGRANDE                                   ,FERRAZ DE VASCONCELOS,EM,1.44,1.27,1.7,1.51,1.72,1.73,1.75
907285,35907285,20401,AMERICANA,ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA               ,AMERICANA,EM,2.06,1.83,1.59,1.94,2.25,2.46,2.79
923059,35923059,10318,SUL 3,LEDA GUIMARAES NATAL                                        ,SAO PAULO,EM,2.13,1.84,1.86,1.65,2.13,2.55,2.64
43497,35043497,20308,SOROCABA,ANTONIO CORDEIRO PROFESSOR                                  ,SOROCABA,EM,1.04,1.55,1.16,1.88,,2.29,2.46
911616,35911616,20604,LINS,COMUNIDADE NOSSA SENHORA APARECIDA                          ,PROMISSAO,EM,1.87,2.03,1.94,2.02,2.48,1.3,2.49
903231,35903231,20307,SAO ROQUE,JOSE PINTO DO AMARAL PROFESSOR                              ,MAIRINQUE,EM,1.74,2.85,3.2,3.09,4.01,4.3,3.9
578575,35578575,20401,AMERICANA,PROFESSORA LENY APPARECIDA PAGOTTO BOER,AMERICANA,EM,,,,,,2.25,2.89
912918,35912918,20403,BRAGANCA PAULISTA,HELENA JOSE BONFA PROFESSORA                                ,SOCORRO,EM,1.97,2.58,3.26,3.03,1.82,2.4,2.55
581124,35581124,20408,LIMEIRA,JARDIM PAINEIRAS,LIMEIRA,EM,,,,,,1.98,2.33
900758,35900758,20507,RIBEIRAO PRETO,JOAO PALMA GUIAO DOUTOR                                     ,RIBEIRAO PRETO,EM,1.21,2.03,1.95,2.01,2.84,2.45,2.56
908885,35908885,20102,SANTOS,ROBERTO AMAURY GALLIERA DOUTOR                              ,GUARUJA,EM,1.38,1.71,1.7,1.53,2.85,2.41,2.04
903309,35903309,20304,ITAPETININGA,LIENETTE AVALONE RIBEIRO PROFA                              ,TATUI,EM,1.36,1.07,1.4,1.62,2.27,2.01,2.42
901155,35901155,20407,JUNDIAI,DAGOBERTO ROMAG FREI                                        ,CAMPO LIMPO PAULISTA,EM,1.06,1.49,1.61,1.47,,1.33,1.47
578009,35578009,20804,PENAPOLIS,PROFESSOR JOAO TEIXEIRA SAMPAIO,PENAPOLIS,EM,,,,,,2.88,2.35
908712,35908712,10706,TABOAO DA SERRA,AMELIA DOS ANJOS OLIVEIRA                                   ,EMBU,EM,1.34,1.23,1.33,1.3,1.99,1.72,1.48
497253,35497253,20504,FRANCA,JARDIM PULICANO                                             ,FRANCA,EM,,,,,2.63,2.3,2.92
